bee1_id,bee2_id,entrance_frame,exit_frame,duration_frames,winner,loser,dist_from_center_A,dist_from_center_B,reason
ArUcoTag#3,ArUcoTag#9,109959,110139,181,ArUcoTag#9,ArUcoTag#3,92.82711614552979,27.259282464558943,distance_exit
ArUcoTag#3,ArUcoTag#9,111476,112133,658,ArUcoTag#9,ArUcoTag#3,116.01492723608749,39.37986676083951,distance_exit
ArUcoTag#3,ArUcoTag#9,112986,113067,82,ArUcoTag#3,ArUcoTag#9,21.265968437906558,95.79156248559903,distance_exit
ArUcoTag#3,ArUcoTag#9,115480,116386,907,ArUcoTag#3,ArUcoTag#9,30.06695341249787,98.78226979612917,distance_exit
ArUcoTag#3,ArUcoTag#9,116842,116935,94,ArUcoTag#9,ArUcoTag#3,101.24260709175721,35.383972368063496,distance_exit
ArUcoTag#3,ArUcoTag#9,117667,117853,187,ArUcoTag#3,ArUcoTag#9,80.24473965085026,94.57299747145817,distance_exit
ArUcoTag#3,ArUcoTag#9,118325,118503,179,ArUcoTag#3,ArUcoTag#9,46.57216198345658,121.29872055697078,distance_exit
ArUcoTag#3,ArUcoTag#9,122885,122990,106,ArUcoTag#9,ArUcoTag#3,100.86726390893034,49.77307961913416,distance_exit
ArUcoTag#3,ArUcoTag#9,124106,125009,904,ArUcoTag#9,ArUcoTag#3,94.60078716466309,34.7143464288384,distance_exit
ArUcoTag#5,ArUcoTag#7,128192,128214,23,ArUcoTag#5,ArUcoTag#7,19.796540155906527,110.42849377067786,distance_exit
